LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
"2740532600","2740207400","2740207300","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000516,chokimcho20150216164146,QTEMP20141209013907000213,QTEMP20141209013907000143,76.76128438620
"2740532700","2740207500","2740207600","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000542,chokimcho20150216164146,QTEMP20141209013907000214,QTEMP20141209013907000144,263.66414128200
"2740532800","2740207500","2740207400","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000517,chokimcho20150216164146,QTEMP20141209013907000214,QTEMP20141209013907000213,37.64901991280
"2740532900","2740207600","2740207500","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000518,chokimcho20150216164146,QTEMP20141209013907000144,QTEMP20141209013907000214,263.62399226400
"2740533000","2740207700","2740207000","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000537,chokimcho20150216164146,QTEMP20141209013907000141,QTEMP20141209013907000139,2328.36498156000
"2740533100","2740207000","2740207700","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","274","000","1",LTEMP20141210022253000513,chokimcho20150216164146,QTEMP20141209013907000139,QTEMP20141209013907000141,2325.74176596000
"2740533400","2740207800","2740207700","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000536,chokimcho20150216164146,QTEMP20141209013907000142,QTEMP20141209013907000141,35.99253064160
"2740533500","2740207700","2740207800","0",4.00000000,"101",경부고속도로,"1","000",100.00000000,"5",43200.00000000,0.00000000,,chokimcho,"5","30000","274","003","1",LTEMP20141210022253000512,chokimcho20150216164146,QTEMP20141209013907000141,QTEMP20141209013907000142,36.65200964960
"1830178000","1830067500","1840060400","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","004","300",LTEMP20141210022253000445,chokimcho20150216164146,QTEMP20141209013907000093,QTEMP20141209013907000092,621.57881696800
"1830178100","1840060400","1830067500","0",2.00000000,"101",대전남부순환고속도로,"0","000",100.00000000,"5",0.00000000,0.00000000,,chokimcho,"5","30000","183","004","300",LTEMP20141210022253000322,chokimcho20150216164146,QTEMP20141209013907000092,QTEMP20141209013907000093,621.79333066500
